Mes,Cupcake: (Todo el mundo)
2004-01,6
2004-02,6
2004-03,6
2004-04,6
2004-05,5
2004-06,6
2004-07,5
2004-08,6
2004-09,5
2004-10,9
2004-11,6
2004-12,5
2005-01,8
2005-02,9
2005-03,9
2005-04,8
2005-05,6
2005-06,8
2005-07,8
2005-08,8
2005-09,9
2005-10,13
2005-11,9
2005-12,8
2006-01,10
2006-02,12
2006-03,12
2006-04,13
2006-05,11
2006-06,11
2006-07,12
2006-08,12
2006-09,14
2006-10,16
2006-11,13
2006-12,13
2007-01,13
2007-02,17
2007-03,15
2007-04,16
2007-05,16
2007-06,17
2007-07,20
2007-08,20
2007-09,18
2007-10,23
2007-11,19
2007-12,19
2008-01,19
2008-02,26
2008-03,24
2008-04,24
2008-05,26
2008-06,25
2008-07,25
2008-08,26
2008-09,27
2008-10,32
2008-11,28
2008-12,27
2009-01,30
2009-02,36
2009-03,34
2009-04,35
2009-05,37
2009-06,36
2009-07,37
2009-08,39
2009-09,38
2009-10,44
2009-11,38
2009-12,37
2010-01,39
2010-02,46
2010-03,47
2010-04,48
2010-05,50
2010-06,48
2010-07,58
2010-08,65
2010-09,60
2010-10,67
2010-11,58
2010-12,55
2011-01,59
2011-02,74
2011-03,70
2011-04,77
2011-05,70
2011-06,71
2011-07,71
2011-08,77
2011-09,75
2011-10,85
2011-11,84
2011-12,81
2012-01,81
2012-02,100
2012-03,95
2012-04,94
2012-05,94
2012-06,89
2012-07,91
2012-08,88
2012-09,93
2012-10,98
2012-11,88
2012-12,89
2013-01,83
2013-02,98
2013-03,99
2013-04,89
2013-05,89
2013-06,87
2013-07,87
2013-08,89
2013-09,90
2013-10,99
2013-11,88
2013-12,84
2014-01,85
2014-02,98
2014-03,93
2014-04,94
2014-05,87
2014-06,79
2014-07,82
2014-08,85
2014-09,86
2014-10,91
2014-11,85
2014-12,79
2015-01,74
2015-02,89
2015-03,82
2015-04,77
2015-05,78
2015-06,73
2015-07,72
2015-08,72
2015-09,73
2015-10,84
2015-11,71
2015-12,71
2016-01,67
2016-02,81
2016-03,75
2016-04,68
2016-05,69
2016-06,63
2016-07,64
2016-08,59
2016-09,62
2016-10,68
2016-11,60
2016-12,59
2017-01,56
2017-02,73
2017-03,64
2017-04,60
2017-05,58
2017-06,55
2017-07,52
2017-08,55
2017-09,56
2017-10,61
2017-11,57
2017-12,53
2018-01,50
2018-02,60
2018-03,61
2018-04,53
2018-05,54
2018-06,49
2018-07,49
2018-08,50
2018-09,51
2018-10,55
2018-11,50
2018-12,50
2019-01,55
2019-02,56
2019-03,52
2019-04,49
2019-05,49
2019-06,45
2019-07,42
2019-08,45
2019-09,47
2019-10,55
2019-11,47
2019-12,44
2020-01,42
2020-02,51
2020-03,45
2020-04,57
2020-05,60
2020-06,52
2020-07,49
2020-08,46
2020-09,45
2020-10,50
2020-11,44
2020-12,44
2021-01,45
2021-02,54
2021-03,49
